Event_Session,Strategy_Return_Gross,Strategy_Return_Net,Num_Positions,Equity,Running_Max,Drawdown,Family,Model,Portfolio_Type,Portfolio_Definition,Cost_Bps_Per_Side,Probability_Margin
2023-06-26,0.0,0.0,0,0.9278155068806836,1.0,-0.0721844931193164,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-27,0.0,0.0,0,0.9278155068806836,1.0,-0.0721844931193164,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-28,-0.0020836792735338117,-0.0030836792735338117,1,0.9249544214324523,1.0,-0.07504557856754768,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-29,0.0,0.0,0,0.9249544214324523,1.0,-0.07504557856754768,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-06-30,0.0,0.0,0,0.9249544214324523,1.0,-0.07504557856754768,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-03,-0.005724706021824066,-0.006724706021824066,1,0.9187343748647328,1.0,-0.08126562513526725,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-05,0.0024232887848324447,0.0014232887848324447,1,0.9200419991967178,1.0,-0.07995800080328219,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-06,0.0,0.0,0,0.9200419991967178,1.0,-0.07995800080328219,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-07,0.0,0.0,0,0.9200419991967178,1.0,-0.07995800080328219,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-10,0.0,0.0,0,0.9200419991967178,1.0,-0.07995800080328219,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-11,0.0034036887008245253,0.0024036887008245253,1,0.922253493754471,1.0,-0.07774650624552903,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-12,0.0,0.0,0,0.922253493754471,1.0,-0.07774650624552903,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-13,0.0,0.0,0,0.922253493754471,1.0,-0.07774650624552903,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-14,0.0,0.0,0,0.922253493754471,1.0,-0.07774650624552903,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-17,0.0,0.0,0,0.922253493754471,1.0,-0.07774650624552903,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-18,0.0,0.0,0,0.922253493754471,1.0,-0.07774650624552903,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-19,0.0,0.0,0,0.922253493754471,1.0,-0.07774650624552903,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-20,-0.009540472427868346,-0.010540472427868347,2,0.9125325062320467,1.0,-0.08746749376795326,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-21,-0.010206942135263242,-0.011206942135263243,1,0.9023058072381575,1.0,-0.09769419276184255,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-24,0.0,0.0,0,0.9023058072381575,1.0,-0.09769419276184255,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-25,-0.005783393589177566,-0.006783393589177566,1,0.8961851118098605,1.0,-0.10381488819013951,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-26,0.0,0.0,0,0.8961851118098605,1.0,-0.10381488819013951,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-27,0.01220431785076087,0.01120431785076087,1,0.9062262546556978,1.0,-0.09377374534430216,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-28,0.0,0.0,0,0.9062262546556978,1.0,-0.09377374534430216,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-07-31,0.0,0.0,0,0.9062262546556978,1.0,-0.09377374534430216,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-08-01,0.0,0.0,0,0.9062262546556978,1.0,-0.09377374534430216,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-08-02,0.03600993608859271,0.03500993608859271,1,0.9379531779129986,1.0,-0.06204682208700141,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-08-03,0.004908071770729827,0.003908071770729827,1,0.9416187662498667,1.0,-0.058381233750133266,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-08-04,0.00034462428800857703,-0.000655375711991423,1,0.9410016521805112,1.0,-0.05899834781948876,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-08-07,0.0017518957171892557,0.0007518957171892557,1,0.9417091872926537,1.0,-0.05829081270734626,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-08-08,0.0,0.0,0,0.9417091872926537,1.0,-0.05829081270734626,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
2023-08-09,0.0,0.0,0,0.9417091872926537,1.0,-0.05829081270734626,Tree,TREE C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,5.0,0.0
