Family,Model,Ticker,Event_Session,Test_Year,Filing_Count,Accessions,y_prob,Acceptance_DateTime_ET,Lead_Minutes,Feature_Cutoff_Session,Momentum_Score_60D,Publication_Period,Stock_Return_Open_Close,QQQ_Return_Open_Close,Market_Neutral_Return,Active,Signal,Strategy_Return_Gross,Transaction_Cost,Strategy_Return_Net,Win,Cost_Bps_Per_Side,Probability_Margin
Tree,TREE B - MARKET + SEC,MSFT,2026-05-15,2026,1,0001193125-26-224155,0.6226415094339622,2026-05-14 20:28:48+00:00,1021.2,2026-05-14,-0.1627440723458573,AFTER_HOURS,0.018466277106570894,-0.0017039202800807063,0.0100850986933258,True,1,0.0100850986933258,0.001,0.0090850986933258,True,5.0,0.0
Tree,TREE B - MARKET + SEC,MSFT,2026-07-30,2026,1,0001193125-26-323632,0.3020833333333333,2026-07-29 20:04:53+00:00,1045.1166666666666,2026-07-29,-0.038282656323154085,AFTER_HOURS,0.03014389675956841,0.013026821240335273,0.008558537759616569,True,-1,-0.008558537759616569,0.001,-0.00955853775961657,False,5.0,0.0
Tree,TREE B - MARKET + SEC,NFLX,2023-01-10,2023,1,0001065280-23-000033,0.2908163265306122,2023-01-09 21:35:29+00:00,1014.5166666666667,2023-01-09,0.3944814380863375,AFTER_HOURS,0.05294632230359286,0.012393767705382475,0.020276277299105194,True,-1,-0.020276277299105194,0.001,-0.021276277299105195,False,5.0,0.0
Tree,TREE B - MARKET + SEC,NFLX,2023-01-20,2023,1,0001065280-23-000034,0.6216216216216216,2023-01-19 21:51:04+00:00,998.9333333333333,2023-01-19,0.0891019427534776,AFTER_HOURS,0.01695415929869104,0.021279612518612545,-0.0021627266099607523,True,1,-0.0021627266099607523,0.001,-0.0031627266099607523,False,5.0,0.0
Tree,TREE B - MARKET + SEC,NFLX,2023-02-27,2023,1,0001065280-23-000062,0.6216216216216216,2023-02-24 21:01:56+00:00,3928.0666666666666,2023-02-24,0.0931637859897938,AFTER_HOURS,-0.002593621857471362,-0.003829616208911646,0.0006179971757201419,True,1,0.0006179971757201419,0.001,-0.0003820028242798581,False,5.0,0.0
Tree,TREE B - MARKET + SEC,NFLX,2023-04-19,2023,1,0001065280-23-000119,0.2908163265306122,2023-04-18 20:03:44+00:00,1046.2666666666667,2023-04-18,-0.1554289998959667,AFTER_HOURS,-0.0033620540651333464,0.007269010986848734,-0.00531553252599104,True,-1,0.00531553252599104,0.001,0.00431553252599104,True,5.0,0.0
Tree,TREE B - MARKET + SEC,NFLX,2023-06-07,2023,1,0001065280-23-000173,0.625,2023-06-06 20:01:22+00:00,1048.6333333333334,2023-06-06,0.13224305913485757,AFTER_HOURS,-0.025972713895562216,-0.017768134125067725,-0.004102289885247246,True,1,-0.004102289885247246,0.001,-0.005102289885247246,False,5.0,0.0
Tree,TREE B - MARKET + SEC,NFLX,2023-07-20,2023,1,0001065280-23-000197,0.1666666666666666,2023-07-19 20:04:02+00:00,1045.9666666666667,2023-07-19,0.23642497121379313,AFTER_HOURS,-0.021431771068329386,-0.015289657379334298,-0.003071056844497544,True,-1,0.003071056844497544,0.001,0.002071056844497544,True,5.0,0.0
Tree,TREE B - MARKET + SEC,NFLX,2023-09-11,2023,1,0001065280-23-000236,0.2908163265306122,2023-09-08 21:02:26+00:00,3867.5666666666666,2023-09-08,-0.010837928928916218,AFTER_HOURS,0.005168485694217795,0.003487189335631413,0.0008406481792931908,True,-1,-0.0008406481792931908,0.001,-0.0018406481792931908,False,5.0,0.0
Tree,TREE B - MARKET + SEC,NFLX,2023-10-19,2023,1,0001065280-23-000272,0.6216216216216216,2023-10-18 20:01:28+00:00,1048.5333333333333,2023-10-18,-0.15128296140691555,AFTER_HOURS,-0.007338066219693018,-0.013267170226367586,0.002964552003337284,True,1,0.002964552003337284,0.001,0.001964552003337284,True,5.0,0.0
