Family,Model,Cost_Bps_Per_Side,Probability_Margin,Num_Candidate_Events,Num_Trades,Trade_Coverage,Active_Sessions,Mean_Trade_Return_Net,Median_Trade_Return_Net,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Mean_Daily_Return_Net,Annualized_Return_Arithmetic,Annualized_Volatility,Sharpe,Sortino,HAC_t,HAC_p_value,HAC_p_value_Positive,Max_Drawdown,Cumulative_Return,CAGR,HAC_p_value_Holm,HAC_p_value_Positive_Holm,HAC_p_value_Positive_Global_Holm
Transformer,TRANSFORMER B - MARKET SEQUENCE + SEC,0.0,0.05,494,329,0.6659919028340081,255,0.0011667417712914554,0.00043224925585805263,0.5227963525835866,0.00932011927914101,0.007765620848773025,1.3148435564843701,0.00033058255012212727,0.08330680263077607,0.09960086772505347,0.8364063941766363,1.3238275453274095,1.5505226898622022,0.12136533715162402,0.06068266857581201,-0.0898438978347792,0.325789514159867,0.08122222962412473,1.0,0.5288005813718081,1.0
Transformer,TRANSFORMER C - MARKET SEQUENCE + SEC + FINBERT,0.0,0.05,494,214,0.4331983805668016,175,0.000525456664737018,-0.0005972710573047824,0.4766355140186916,0.010443542952581954,0.008507086204550337,1.1180189705024706,0.0001482296164446375,0.037353863344048645,0.09139854566867456,0.4086920975685843,0.6628245512120116,0.7926481084964134,0.4281903781700065,0.21409518908500325,-0.10538091492984647,0.12693486246324515,0.03364527882360968,1.0,0.6422855672550097,1.0
Tree,TREE A - MARKET,0.0,0.05,494,379,0.7672064777327935,291,0.00012894247133723628,-6.576571621752514e-05,0.49868073878627966,0.008166191010890873,0.007866004760113485,1.032698467129427,0.00010151152513549108,0.025580904334143752,0.09315764172583807,0.2745980239541494,0.3858437338890136,0.47928362243685346,0.6318525344547934,0.3159262672273967,-0.21888498442598503,0.0794305302466296,0.02139114251377916,1.0,0.6422855672550097,1.0
Tree,TREE B - MARKET + SEC,0.0,0.05,494,379,0.7672064777327935,291,0.0010458426811273357,0.00034462428800857703,0.5197889182058048,0.00871656188230253,0.007257078652012849,1.3001043935245544,0.0003652521683921333,0.09204354643481759,0.09298418815886945,0.9898838529143825,1.533039110705047,1.8567155203737271,0.06367605091976247,0.031838025459881236,-0.0882862737671668,0.3712202403987652,0.09135728680525212,0.8277886619569121,0.41389433097845607,1.0
Tree,TREE C - MARKET + SEC + FINBERT,0.0,0.05,494,397,0.8036437246963563,301,-0.00015265504892605843,-0.0008596205965912818,0.4659949622166247,0.008392484409249149,0.007609498444031783,0.9624327170382931,4.3499489023466833e-05,0.010961871233913642,0.09407813443088942,0.11651879897731525,0.16984266958413213,0.21515002237961245,0.8296987755016906,0.4148493877508453,-0.20250400031374327,0.023827038326602823,0.006541974938283124,1.0,0.6422855672550097,1.0
XGBoost,XGB A - MARKET,0.0,0.05,494,401,0.8117408906882592,323,0.000696096555983852,0.0006812084806518959,0.5261845386533666,0.008317741809603887,0.007767941067773135,1.1891273487937908,0.0003992064610753664,0.10060002819099233,0.10210021514385721,0.9853067209432308,1.5464661597714568,1.9154710307344882,0.05574699822482726,0.02787349911241363,-0.09744888258985629,0.40962297209194554,0.09973677625866428,0.7804579751475816,0.3902289875737908,1.0
XGBoost,XGB B - MARKET + SEC,0.0,0.05,494,407,0.8238866396761133,330,0.0007802783658352409,0.0007909263075999151,0.542997542997543,0.00822418088078674,0.008064358493327562,1.2117196683777733,0.0004026704615477669,0.10147295631003726,0.10667529791338615,0.9512319936751162,1.490208843367634,1.8330200163781538,0.06712758649990856,0.03356379324995428,-0.12117544443271677,0.41164215425263073,0.10017277167367378,0.8277886619569121,0.41389433097845607,1.0
XGBoost,XGB C - MARKET + SEC + FINBERT,0.0,0.05,494,408,0.8259109311740891,318,0.001081144773997741,0.0009413309757229094,0.5490196078431373,0.008406423290539628,0.007836585593966296,1.3059139713154515,0.00046409081128342565,0.11695088444342326,0.10599285418596828,1.1033846134403433,1.7787440203772764,2.0475904021384195,0.04088805517297903,0.020444027586489517,-0.1273007935648055,0.4928908325637593,0.11735418772127604,0.6982954850550211,0.3491477425275106,1.0
CatBoost,CAT A - MARKET,0.0,0.1,494,256,0.5182186234817814,215,0.0013693466812313337,0.0015982630651150687,0.5703125,0.009108370303172431,0.008902448307890484,1.3579737927359286,0.00047076117742775607,0.11863181671179453,0.09030392360907384,1.3136950419269964,2.2540904654191523,2.4923552803750546,0.012867595977101853,0.006433797988550927,-0.09582970743204133,0.5103031399358169,0.12094788557859393,0.2702195155191389,0.13510975775956946,1.0
CatBoost,CAT B - MARKET + SEC,0.0,0.1,494,288,0.582995951417004,235,0.0011492512322204293,0.0011602446186574356,0.5625,0.009060412936997726,0.00902224238820752,1.291153778221965,0.00038642911151012176,0.09738013610055068,0.09747125682579254,0.9990651528644521,1.5762131213268906,1.9375209764399621,0.05299218232538413,0.026496091162692064,-0.09159042074952872,0.3957077394107622,0.09671975939261346,0.7948827348807619,0.39744136744038094,1.0
CatBoost,CAT C - MARKET + SEC + FINBERT,0.0,0.1,494,307,0.6214574898785425,256,0.0014694414085139806,0.0013923109834141911,0.5765472312703583,0.008674901152365636,0.00834106916580712,1.4160308869525156,0.00044840141396960503,0.11299715632034046,0.09686510454281426,1.166541417094077,1.8449110680767817,2.2080516197955906,0.027490494859458495,0.013745247429729247,-0.09489233341691838,0.47665224627613356,0.11397531586516751,0.5498098971891698,0.2749049485945849,1.0
LSTM,LSTM A - MARKET SEQUENCE,0.0,0.1,494,95,0.19230769230769232,84,0.0005371209695018604,-0.00010040685135193073,0.49473684210526314,0.011314479381024922,0.010015709141781138,1.1061384574728892,6.820911899180646e-05,0.01718869798593523,0.0735221672842491,0.23378932668675048,0.35132712877770983,0.40973222013323024,0.6820992478617566,0.3410496239308783,-0.11477793957662674,0.05355241943458244,0.014550834063556728,1.0,1.0,1.0
LSTM,LSTM B - MARKET SEQUENCE + SEC,0.0,0.1,494,110,0.22267206477732793,89,0.0029146550751700507,0.002134051918410873,0.5909090909090909,0.012259631335793924,0.010583643967953322,1.6731814134663319,0.00035399523603121824,0.089206799479867,0.07732752129863096,1.1536229014164243,2.0732849336979844,2.17115047892574,0.030178754710586536,0.015089377355293268,-0.06983701865307357,0.363898390454241,0.08974045006119646,0.5733963395011442,0.2866981697505721,1.0
